name;open;high;low;close;volume;marketCap;timestamp
2781;0.87125754;0.87125754;0.6726613;0.84636459;83364181.05;148009228.6;2020-10-19T00:00:00.000Z
2781;0.84636459;0.84636459;0.60010036;0.63429566;63773503.52;110923368.6;2020-10-26T00:00:00.000Z
2781;0.63429566;0.82735551;0.52596364;0.815197;82649857.41;142558752;2020-11-02T00:00:00.000Z
2781;0.81520023;0.98979812;0.76016269;0.82680108;126832311.8;258468854.9;2020-11-09T00:00:00.000Z
2781;0.8268009;1.20263259;0.79418346;1.07107708;242687570.9;210906879.4;2020-11-16T00:00:00.000Z
2781;1.07098174;1.29822702;0.9063862;1.01459373;260811387.8;199784685.8;2020-11-23T00:00:00.000Z
2781;1.01452906;1.22133434;0.99689021;1.03468791;238273777;203741451.3;2020-11-30T00:00:00.000Z
2781;1.03490513;1.04945264;0.8692142;0.95162964;70404027.69;187386361.9;2020-12-07T00:00:00.000Z
2781;0.95207067;1.11991118;0.94321626;1.05750438;64346656.31;208234265.5;2020-12-14T00:00:00.000Z
2781;1.05751922;1.6417801;0.90941255;1.19541045;198546502.8;235389490.6;2020-12-21T00:00:00.000Z
2781;1.19675056;1.57596602;1.10291941;1.47271783;185677761.8;289994369.6;2020-12-28T00:00:00.000Z
2781;1.47363416;1.93875009;1.30429372;1.73616305;289163011.8;341869634.7;2021-01-04T00:00:00.000Z
2781;1.73857739;2.74039111;1.35179176;2.50681882;355607267.1;493620247.4;2021-01-11T00:00:00.000Z
2781;2.50513946;2.71421997;2.00964524;2.56446882;347002235.7;676429238.7;2021-01-18T00:00:00.000Z
2781;2.56364712;2.67977467;2.01456712;2.14454675;1491860007;581181218.4;2021-01-25T00:00:00.000Z
2781;2.14489389;3.4824215;2.09515045;3.39232648;483144592;943876549.8;2021-02-01T00:00:00.000Z
2781;3.39646653;5.5310217;3.05732101;4.33036362;900056507.8;1236685011;2021-02-08T00:00:00.000Z
2781;4.3235972;4.72716682;3.51555657;4.10229254;588548989.3;1204427253;2021-02-15T00:00:00.000Z
2781;4.09000321;4.83890722;2.67054574;3.80823545;873186166.5;1148611753;2021-02-22T00:00:00.000Z
2781;3.81756145;4.64566339;3.80674469;4.27962253;457712045.7;1325084976;2021-03-01T00:00:00.000Z
2781;4.27796149;7.57156338;4.13799931;6.63313124;1498894659;2106220748;2021-03-08T00:00:00.000Z
2781;6.61911906;6.85642074;5.61227416;6.04565968;725792783.1;1963466059;2021-03-15T00:00:00.000Z
2781;6.0485739;6.0485739;4.48739874;5.60206571;541509065.8;1859971454;2021-03-22T00:00:00.000Z
2781;5.60676521;6.66242191;5.52365141;6.09568485;616895056;2068008242;2021-03-29T00:00:00.000Z
2781;6.11058283;7.41784464;5.74392174;6.77654542;897135613.9;2348074234;2021-04-05T00:00:00.000Z
